alert_packet_id,packet_start_plot_order_index,packet_end_plot_order_index,packet_row_count,rows_from_packet_start_to_broken,contains_pre_failure_alert,contains_failure_hit,contains_recovery_alert,contains_stable_normal_alert
541,169538,169549,12,-152383,0,0,0,1
542,169571,169612,31,-152416,0,0,0,1
543,169638,169642,5,-152483,0,0,0,1
544,169665,169691,18,-152510,0,0,0,1
545,169711,169742,18,-152556,0,0,0,1
546,169750,169761,11,-152595,0,0,0,1
547,169783,169798,16,-152628,0,0,0,1
548,169805,169808,4,-152650,0,0,0,1
549,169815,169824,5,-152660,0,0,0,1
550,169858,169858,1,-152703,0,0,0,1
551,169866,169869,4,-152711,0,0,0,1
552,169888,169888,1,-152733,0,0,0,1
553,169910,169914,5,-152755,0,0,0,1
554,169970,169970,1,-152815,0,0,0,1
555,170011,170039,20,-152856,0,0,0,1
556,170074,170074,1,-152919,0,0,0,1
557,170092,170097,3,-152937,0,0,0,1
558,170151,170159,7,-152996,0,0,0,1
559,170166,170166,1,-153011,0,0,0,1
560,170188,170201,8,-153033,0,0,0,1
561,170213,170226,11,-153058,0,0,0,1
562,170233,170236,2,-153078,0,0,0,1
563,170246,170255,10,-153091,0,0,0,1
564,170316,170316,1,-153161,0,0,0,1
565,170326,170337,8,-153171,0,0,0,1
566,170344,170354,11,-153189,0,0,0,1
567,170373,170373,1,-153218,0,0,0,1
568,170383,170384,2,-153228,0,0,0,1
569,170393,170394,2,-153238,0,0,0,1
570,170427,170434,8,-153272,0,0,0,1
571,170482,170484,2,-153327,0,0,0,1
572,170503,170503,1,-153348,0,0,0,1
573,170511,170515,2,-153356,0,0,0,1
574,170560,170560,1,-153405,0,0,0,1
575,170602,170603,2,-153447,0,0,0,1
576,170610,170614,5,-153455,0,0,0,1
577,170660,170662,3,-153505,0,0,0,1
578,170716,170716,1,-153561,0,0,0,1
579,170778,170782,5,-153623,0,0,0,1
580,170870,170879,8,-153715,0,0,0,1
581,170889,170889,1,-153734,0,0,0,1
582,170898,170910,13,-153743,0,0,0,1
583,170918,170928,6,-153763,0,0,0,1
584,170980,170985,5,-153825,0,0,0,1
585,170991,171002,12,-153836,0,0,0,1
586,171008,171009,2,-153853,0,0,0,1
587,171016,171021,4,-153861,0,0,0,1
588,171027,171038,8,-153872,0,0,0,1
589,171072,171077,6,-153917,0,0,0,1
590,171090,171097,8,-153935,0,0,0,1
591,171117,171127,9,-153962,0,0,0,1
592,171144,171154,9,-153989,0,0,0,1
593,171192,171202,10,-154037,0,0,0,1
594,171227,171235,6,-154072,0,0,0,1
595,171299,171303,2,-154144,0,0,0,1
596,171310,171317,4,-154155,0,0,0,1
597,171334,171335,2,-154179,0,0,0,1
598,171350,171358,7,-154195,0,0,0,1
599,171385,171388,4,-154230,0,0,0,1
600,171397,171404,7,-154242,0,0,0,1
601,171418,171419,2,-154263,0,0,0,1
602,171434,171434,1,-154279,0,0,0,1
603,171475,171477,3,-154320,0,0,0,1
604,171517,171517,1,-154362,0,0,0,1
605,171531,171550,10,-154376,0,0,0,1
606,171633,171633,1,-154478,0,0,0,1
607,171645,171648,4,-154490,0,0,0,1
608,171674,171686,5,-154519,0,0,0,1
609,171702,171702,1,-154547,0,0,0,1
610,171722,171737,16,-154567,0,0,0,1
611,171757,171765,9,-154602,0,0,0,1
612,171783,171783,1,-154628,0,0,0,1
613,171790,171790,1,-154635,0,0,0,1
614,171798,171798,1,-154643,0,0,0,1
