sensor_a,sensor_b,correlation_contaminated,abs_correlation_contaminated,correlation_clean,abs_correlation_clean,correlation_delta,abs_correlation_delta
sensor_17,sensor_19,0.7556020800371835,0.7556020800371835,0.16151919600466216,0.16151919600466216,0.5940828840325214,0.5940828840325214
sensor_16,sensor_31,0.6031627894459456,0.6031627894459456,0.009719808514409659,0.009719808514409659,0.5934429809315359,0.5934429809315359
sensor_17,sensor_26,0.6297709537077477,0.6297709537077477,0.04071797462494779,0.04071797462494779,0.5890529790828,0.5890529790828
sensor_26,sensor_30,0.7025648987621004,0.7025648987621004,0.11458085114063164,0.11458085114063164,0.5879840476214687,0.5879840476214687
sensor_25,sensor_29,0.7373459136789858,0.7373459136789858,-0.14980632306731814,0.14980632306731814,0.887152236746304,0.5875395906116677
sensor_24,sensor_28,0.6981514006367745,0.6981514006367745,-0.11240019155008825,0.11240019155008825,0.8105515921868628,0.5857512090866862
sensor_25,sensor_32,0.72854391423649,0.72854391423649,0.14467377053976216,0.14467377053976216,0.5838701436967279,0.5838701436967279
sensor_19,sensor_32,0.694667956849363,0.694667956849363,-0.11323847233936006,0.11323847233936006,0.807906429188723,0.581429484510003
sensor_17,sensor_20,0.6979879455855046,0.6979879455855046,0.11924634031569209,0.11924634031569209,0.5787416052698124,0.5787416052698124
sensor_24,sensor_36,0.593482484920677,0.593482484920677,-0.015181755887254489,0.015181755887254489,0.6086642408079315,0.5783007290334226
sensor_18,sensor_28,0.579091650125709,0.579091650125709,-0.004677710498889185,0.004677710498889185,0.5837693606245982,0.5744139396268197
sensor_21,sensor_29,0.7100385104556041,0.7100385104556041,-0.14010745892555146,0.14010745892555146,0.8501459693811555,0.5699310515300526
sensor_24,sensor_33,0.5931608397589208,0.5931608397589208,0.023467160825366512,0.023467160825366512,0.5696936789335543,0.5696936789335543
sensor_17,sensor_28,0.5765986533004955,0.5765986533004955,-0.007363968755371011,0.007363968755371011,0.5839626220558666,0.5692346845451245
sensor_18,sensor_20,0.6966622388671752,0.6966622388671752,0.1276657814105616,0.1276657814105616,0.5689964574566135,0.5689964574566135
sensor_14,sensor_29,0.5927175893624699,0.5927175893624699,-0.025247190768272938,0.025247190768272938,0.6179647801307429,0.5674703985941969
sensor_16,sensor_35,0.6196591307234296,0.6196591307234296,0.05379296997782189,0.05379296997782189,0.5658661607456077,0.5658661607456077
sensor_16,sensor_33,0.5664521960068674,0.5664521960068674,-0.0023696538122381927,0.0023696538122381927,0.5688218498191056,0.5640825421946292
sensor_04,sensor_11,0.7981381071144201,0.7981381071144201,0.23560232322876196,0.23560232322876196,0.5625357838856582,0.5625357838856582
sensor_14,sensor_32,0.5831071699331567,0.5831071699331567,0.02424532086700599,0.02424532086700599,0.5588618490661507,0.5588618490661507
sensor_17,sensor_34,0.589793162181791,0.589793162181791,0.03434078997664471,0.03434078997664471,0.5554523722051463,0.5554523722051463
sensor_22,sensor_28,0.7147570026652571,0.7147570026652571,-0.16021472136495302,0.16021472136495302,0.8749717240302102,0.554542281300304
sensor_18,sensor_19,0.7193720454342527,0.7193720454342527,0.16587926291008853,0.16587926291008853,0.5534927825241642,0.5534927825241642
sensor_21,sensor_35,0.7120870769703109,0.7120870769703109,0.16236665065081046,0.16236665065081046,0.5497204263195005,0.5497204263195005
sensor_16,sensor_29,0.5966847321553829,0.5966847321553829,-0.047453364934554446,0.047453364934554446,0.6441380970899373,0.5492313672208284
sensor_25,sensor_30,0.6242110978409087,0.6242110978409087,-0.08552668671364733,0.08552668671364733,0.709737784554556,0.5386844111272613
sensor_23,sensor_24,0.7942934500651369,0.7942934500651369,0.25807305944934655,0.25807305944934655,0.5362203906157903,0.5362203906157903
sensor_04,sensor_05,0.6070067133364603,0.6070067133364603,-0.07195730324696145,0.07195730324696145,0.6789640165834218,0.5350494100894988
sensor_19,sensor_29,0.6827848529849712,0.6827848529849712,-0.1493417203116024,0.1493417203116024,0.8321265732965736,0.5334431326733687
sensor_16,sensor_32,0.5633745853055732,0.5633745853055732,0.03283077040952761,0.03283077040952761,0.5305438148960455,0.5305438148960455
sensor_16,sensor_17,0.8643223737701408,0.8643223737701408,0.3347812647339844,0.3347812647339844,0.5295411090361564,0.5295411090361564
sensor_18,sensor_31,0.5571529077534281,0.5571529077534281,-0.028187630922756186,0.028187630922756186,0.5853405386761843,0.5289652768306718
sensor_23,sensor_26,0.9254727268420668,0.9254727268420668,0.39896133684834384,0.39896133684834384,0.526511389993723,0.526511389993723
sensor_41,sensor_43,0.7002200094500525,0.7002200094500525,0.1754136076764866,0.1754136076764866,0.5248064017735659,0.5248064017735659
sensor_00,sensor_12,0.6922779359178508,0.6922779359178508,0.16781876449680452,0.16781876449680452,0.5244591714210463,0.5244591714210463
sensor_18,sensor_35,0.5286280321242693,0.5286280321242693,0.00489530420581216,0.00489530420581216,0.5237327279184572,0.5237327279184572
