sensor_a,sensor_b,correlation_abnormal,abs_correlation_abnormal,correlation_clean,abs_correlation_clean,correlation_delta_abnormal_vs_clean,abs_correlation_delta_abnormal_vs_clean
sensor_16,sensor_32,0.9040228506777397,0.9040228506777397,0.03283077040952761,0.03283077040952761,0.871192080268212,0.871192080268212
sensor_24,sensor_28,0.982327785378767,0.982327785378767,-0.11240019155008825,0.11240019155008825,1.0947279769288552,0.8699275938286787
sensor_18,sensor_20,0.997033383677785,0.997033383677785,0.1276657814105616,0.1276657814105616,0.8693676022672234,0.8693676022672234
sensor_42,sensor_46,0.9520964879048434,0.9520964879048434,0.0836380398887525,0.0836380398887525,0.8684584480160908,0.8684584480160908
sensor_10,sensor_27,0.9134431961473306,0.9134431961473306,-0.047039762248856025,0.047039762248856025,0.9604829583961866,0.8664034338984746
sensor_20,sensor_23,0.9872593758572142,0.9872593758572142,0.12330701941519391,0.12330701941519391,0.8639523564420203,0.8639523564420203
sensor_40,sensor_41,0.9896909998290254,0.9896909998290254,-0.1263797624955544,0.1263797624955544,1.1160707623245798,0.863311237333471
sensor_23,sensor_31,0.9748297548723828,0.9748297548723828,0.11336363102895351,0.11336363102895351,0.8614661238434292,0.8614661238434292
sensor_16,sensor_20,0.9998495633032458,0.9998495633032458,0.13893574312587775,0.13893574312587775,0.8609138201773681,0.8609138201773681
sensor_26,sensor_33,0.8632970056926969,0.8632970056926969,0.0027605932749661354,0.0027605932749661354,0.8605364124177307,0.8605364124177307
sensor_10,sensor_19,0.8731775028504366,0.8731775028504366,0.012980694662798118,0.012980694662798118,0.8601968081876384,0.8601968081876384
sensor_01,sensor_48,0.9228999730115651,0.9228999730115651,0.06301363566104759,0.06301363566104759,0.8598863373505176,0.8598863373505176
sensor_22,sensor_30,0.9649712783138694,0.9649712783138694,0.10745701017603362,0.10745701017603362,0.8575142681378358,0.8575142681378358
sensor_10,sensor_21,0.872618808354525,0.872618808354525,0.01619169977124537,0.01619169977124537,0.8564271085832796,0.8564271085832796
sensor_16,sensor_21,0.9998323214874815,0.9998323214874815,0.14399800559893186,0.14399800559893186,0.8558343158885496,0.8558343158885496
sensor_38,sensor_40,0.9894634801320034,0.9894634801320034,-0.13472537180500313,0.13472537180500313,1.1241888519370065,0.8547381083270003
sensor_21,sensor_27,0.980029362982511,0.980029362982511,0.1256491499074383,0.1256491499074383,0.8543802130750726,0.8543802130750726
sensor_14,sensor_19,0.9993978664832438,0.9993978664832438,0.14567958840397843,0.14567958840397843,0.8537182780792654,0.8537182780792654
sensor_16,sensor_29,0.9001425893072759,0.9001425893072759,-0.047453364934554446,0.047453364934554446,0.9475959542418303,0.8526892243727214
sensor_19,sensor_27,0.9815175096072746,0.9815175096072746,0.13045258308812016,0.13045258308812016,0.8510649265191544,0.8510649265191544
sensor_37,sensor_51,0.8519255480164054,0.8519255480164054,0.00586967405080251,0.00586967405080251,0.8460558739656029,0.8460558739656029
sensor_10,sensor_16,0.8713384389552756,0.8713384389552756,0.026676278187371873,0.026676278187371873,0.8446621607679038,0.8446621607679038
sensor_29,sensor_31,0.8876047112948373,0.8876047112948373,0.044618354160043505,0.044618354160043505,0.8429863571347938,0.8429863571347938
sensor_10,sensor_20,0.8735597866140179,0.8735597866140179,0.032488997156248034,0.032488997156248034,0.8410707894577698,0.8410707894577698
