sensor,baseline_state,comparison_state,baseline_mean,comparison_mean,baseline_std,standardized_mean_shift,abs_standardized_mean_shift
sensor_12,normal,recovery,31.17233926498584,0.19501078049125417,6.802213521012032,-4.55400707266916,4.55400707266916
sensor_01,normal,recovery,48.1801156027546,39.22138582254976,2.240172841721858,-3.9991243592252954,3.9991243592252954
sensor_03,normal,recovery,44.16706022110404,37.856698010137166,1.6682602485635256,-3.7826005962801554,3.7826005962801554
sensor_05,normal,recovery,75.38976408261738,45.06038490181191,9.381706886976913,-3.232821015001735,3.232821015001735
sensor_38,normal,recovery,50.66402305737356,35.29892716511197,7.664509644334879,-2.004706968255758,2.004706968255758
sensor_40,normal,recovery,70.97099818463529,38.57871581658064,17.89694439537592,-1.8099336765232352,1.8099336765232352
sensor_48,normal,recovery,158.88626764421016,37.15130334376489,78.70759836055471,-1.546673597417937,1.546673597417937
sensor_49,normal,recovery,58.569956042613384,36.49714274122134,17.93921043005498,-1.23042278741609,1.23042278741609
sensor_13,normal,recovery,7.572760392618953,0.05506561811098239,6.873284554393044,-1.0937557895377767,1.0937557895377767
sensor_47,normal,recovery,45.04710173482115,34.29181325513444,9.9969734144184,-1.075854464529695,1.075854464529695
sensor_44,normal,recovery,43.3806281029692,32.36366209898814,11.174819147581363,-0.9858742104444287,0.9858742104444287
sensor_46,normal,recovery,48.85862615514499,36.06841205857074,14.677281182507123,-0.8714293837892847,0.8714293837892847
sensor_45,normal,recovery,43.78459338869016,33.28817905883055,12.439904100857335,-0.8437697143610792,0.8437697143610792
sensor_28,normal,recovery,834.8054466827239,1091.6856276922015,315.7311036400139,0.8136042919051899,0.8136042919051899
sensor_43,normal,recovery,44.226583481170096,38.934632804591054,7.48765157432718,-0.7067570684944113,0.7067570684944113
sensor_31,normal,recovery,851.4005686529042,1032.7905597195552,285.3661937661004,0.6356393820612358,0.6356393820612358
sensor_41,normal,recovery,35.58195128724184,32.2705040997428,5.2182670421260005,-0.6345875289183951,0.6345875289183951
sensor_51,normal,recovery,200.72087444950557,236.0304232031739,62.30434136275035,0.5667269403922905,0.5667269403922905
sensor_32,normal,recovery,794.8550860370719,938.2952310188574,261.5959899380737,0.5483270023204152,0.5483270023204152
sensor_30,normal,recovery,608.653371950155,698.9815151184637,200.3620189924656,0.4508246803587328,0.4508246803587328
sensor_33,normal,recovery,482.22342873518846,545.8575469275402,154.12243720217873,0.4128803005423285,0.4128803005423285
sensor_24,normal,recovery,551.4575563949588,624.1655235732542,186.9128569342206,0.3889939320968334,0.3889939320968334
sensor_23,normal,recovery,915.2071966006395,1027.8651950093251,299.41582007006906,0.3762593385423707,0.3762593385423707
sensor_35,normal,recovery,423.70111157084585,475.85392426700815,143.80191867799675,0.36267118808716037,0.36267118808716037
sensor_14,normal,recovery,374.1067333866416,415.9980411134904,116.48033382405467,0.3596427512830297,0.3596427512830297
sensor_16,normal,recovery,413.49121440670166,458.8564012157215,129.73325286190797,0.34968048521305445,0.34968048521305445
sensor_19,normal,recovery,586.1694598980263,657.0887012247011,205.05904261336934,0.3458479100596908,0.3458479100596908
sensor_20,normal,recovery,358.45104652702327,394.27474262899767,104.88776062895657,0.3415431494309593,0.3415431494309593
sensor_21,normal,recovery,791.148866964761,868.4172721489258,233.15173543082196,0.33140823524811774,0.33140823524811774
sensor_22,normal,recovery,456.53725237934225,506.07648957311596,158.88501872333276,0.3117930034677254,0.3117930034677254
sensor_25,normal,recovery,644.5656881101465,714.2488269709194,227.02541734047773,0.30693981174921336,0.30693981174921336
sensor_26,normal,recovery,781.4390685861224,857.121271682669,253.18676348451055,0.2989184823683591,0.2989184823683591
sensor_17,normal,recovery,418.5704298053522,457.4759785521862,133.04817489493865,0.2924170044238164,0.2924170044238164
sensor_37,normal,recovery,60.10886551785891,70.43295333098631,37.88177439489558,0.27253443055504095,0.27253443055504095
sensor_18,normal,recovery,2.290436176452833,2.49357970839953,0.7881439414674937,0.25774927809310033,0.25774927809310033
sensor_29,normal,recovery,573.0075959982645,621.4858954919528,230.32291184828762,0.21047970913818875,0.21047970913818875
sensor_34,normal,recovery,235.89868848205856,221.78469211853286,90.19350270753834,-0.15648573278378794,0.15648573278378794
sensor_39,normal,recovery,36.71107384232764,35.155079493273455,10.593935264258569,-0.14687595404738266,0.14687595404738266
sensor_27,normal,recovery,500.0395430975575,522.3902305286057,172.68601900278605,0.1294296293360471,0.1294296293360471
sensor_36,normal,recovery,594.5127087633588,572.0839971642788,293.53554145647837,-0.07640884469319165,0.07640884469319165
sensor_42,normal,recovery,35.433286549973104,35.731935268805266,6.249140093547169,0.04779037025278806,0.04779037025278806
